iso3c,species_name,prod_method,quantity,distance
BGD,Penaeus Shrimps Nei,Farmed,44.18974,5682
CHN,Giant Tiger Prawn,Farmed,290.01403,4358
CHN,Penaeus Shrimps Nei,Farmed,13502.64154,4358
CHN,Penaeus Shrimps Nei,Wild,103.76635,4358
ESP,Penaeus Shrimps Nei,Wild,37.94989,15555
IDN,Banana Prawn,Wild,3115.6875,1280
IDN,Giant Tiger Prawn,Farmed,60.27608,1280
IDN,Giant Tiger Prawn,Wild,1983.48659,1280
IND,Giant Tiger Prawn,Wild,448.50117,5419
IND,Penaeus Shrimps Nei,Farmed,45.66118,5419
IND,Penaeus Shrimps Nei,Wild,661.06413,5419
JPY,Kuruma Prawn,Farmed,86.42838,4915
MYS,Giant Tiger Prawn,Farmed,537.40804,2565
PHL,Penaeus Shrimps Nei,Wild,13.68686,2196
PNG,Banana Prawn,Wild,19.83527,856
PNG,Giant Tiger Prawn,Wild,24.10937,856
SGP,Giant Tiger Prawn,Farmed,349.27047,3026
SGP,Penaeus Shrimps Nei,Farmed,644.55475,3026
THA,Banana Prawn,Wild,8781.70757,3756
THA,Giant Tiger Prawn,Farmed,1760.44022,3756
THA,Giant Tiger Prawn,Wild,3418.23457,3756
THA,Penaeus Shrimps Nei,Farmed,588.34011,3756
THA,Penaeus Shrimps Nei,Wild,21482.62901,3756
THA,Western King Prawn,Wild,54.08972,3756
VNM,Giant Tiger Prawn,Farmed,209.23717,3723